List,Milestone,Task,Status,Priority,Story Points,Risk,Service,Language,Dependencies,Acceptance Status
Product and Architecture,Milestone 0 — Foundation,Confirm product scope,Backlog,urgent,3,Medium,platform,Markdown / TypeScript contracts,None,Not Started
Product and Architecture,Milestone 0 — Foundation,Create architecture decision records,Backlog,high,5,Medium,platform,Markdown,Confirm product scope,Not Started
Product and Architecture,Milestone 0 — Foundation,Initialize monorepo,Backlog,urgent,5,Low,platform,TypeScript / JavaScript / Go / Python / Ruby,Confirm product scope; Create architecture decision records,Not Started
Product and Architecture,Milestone 0 — Foundation,Set up CI,Backlog,high,5,Medium,platform,YAML / Shell / TypeScript,Initialize monorepo,Not Started
Product and Architecture,Milestone 0 — Foundation,Create Docker development environment,Backlog,urgent,8,High,local-platform,YAML / Shell,Initialize monorepo,Not Started
Product and Architecture,Milestone 0 — Foundation,Define event standards,Backlog,urgent,5,High,event-platform,Protobuf / Markdown,Create architecture decision records,Not Started
Product and Architecture,Milestone 0 — Foundation,Define graph model,Backlog,urgent,5,High,knowledge-graph,Cypher / Markdown,Create architecture decision records; Define event standards,Not Started
Product and Architecture,Milestone 0 — Foundation,Create security baseline,Backlog,urgent,8,High,platform-security,Markdown / policy-as-code,Confirm product scope; Define event standards; Define graph model,Not Started
Kafka Streaming,Milestone 1 — Streaming ingestion,Implement source registry,Backlog,urgent,8,High,control-plane,Ruby / SQL,Milestone 0 — Foundation,Not Started
Kafka Streaming,Milestone 1 — Streaming ingestion,Implement RSS collector,Backlog,urgent,8,Medium,feed-collector,Go,Implement source registry; Define event standards,Not Started
Kafka Streaming,Milestone 1 — Streaming ingestion,Implement document fetcher,Backlog,urgent,13,High,document-fetcher,Go,Implement RSS collector; Create Docker development environment,Not Started
Kafka Streaming,Milestone 1 — Streaming ingestion,Define Kafka schemas,Backlog,urgent,8,High,event-platform,Protobuf,Define event standards,Not Started
Kafka Streaming,Milestone 1 — Streaming ingestion,Add normalization,Backlog,high,8,Medium,stream-normalizer,Go,Implement document fetcher; Define Kafka schemas,Not Started
Kafka Streaming,Milestone 1 — Streaming ingestion,Add deduplication,Backlog,high,8,High,stream-normalizer,Go / Redis,Add normalization,Not Started
Kafka Streaming,Milestone 1 — Streaming ingestion,Add object storage,Backlog,high,5,High,document-fetcher,Go / S3,Implement document fetcher,Not Started
Kafka Streaming,Milestone 1 — Streaming ingestion,Add dead-letter handling,Backlog,high,5,High,event-platform,Go / Python / Kafka,Define Kafka schemas,Not Started
